Author First Name,Author Last Name,Title,Series,Series Number
 A. J.,Hartley,Act of Will,Will Hawthorne,1
 A. J.,Hartley,Will Power,Will Hawthorne,2
 A. J.,Jacobs,The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,,1
 A. Lee,Martinez,A Nameless Witch,,1
 A. Manette,Ansay,Good Things I Wish You,,1
 A. N. & Rice,Roquelaure,Beauty's Punishment,Sleeping Beauty Trilogy,2
 A. N. & Rice,Roquelaure,Beauty's Release,Sleeping Beauty Trilogy,3
 Ace,Atkins,Devil's Garden,,1
 Ace,Atkins,Infamous,,1
 Adam,Rex,Fat Vampire: A Never Coming of Age Story,,0
 Adam,Nevill,Apartment 16,,1
 Adam,Nevill,Banquet for the Damned,,1
 Adam,Lazarus,"Chasing Greatness: Johnny Miller, Arnold Palmer, and the Miracle at Oakmont",,1
 Adam,Langer,The Thieves of Manhattan,,1
 Adam,Schell,"Tomato Rhapsody: A Fable of Love, Lust and Forbidden Fruit",,1
 Adam,Haslett,Union Atlantic,,1
 Adam Jacot De,Boinod,The Meaning of Tingo: And Other Extraordinary Words from Around the World,Tingo,1
 Adaobi Tricia,Nwaubani,I Do Not Come to You by Chance,,1
 Adele,Parks,Game Over,,1
 Adele,Parks,Love Lies,,1
 Adele,Ashworth,My Darling Caroline,,1
 Adrian,Tchaikovsky,Empire in Black and Gold,Shadows of the Apt,1
 Adrian,Tchaikovsky,Dragonfly Falling,Shadows of the Apt,2
 Adrian,Tchaikovsky,Blood of the Mantis,Shadows of the Apt,3
 Adrian,Tchaikovsky,Salute the Dark,Shadows of the Apt,4
 Adrian,Tchaikovsky,The Scarab Path,Shadows of the Apt,5
 Agatha,Christie,Parker Pyne Investigates,Ariadne Oliver,1
 Agatha,Christie,The pale horse,Ariadne Oliver,5
 Agatha,Christie,The Man in the Brown Suit,Colonel Race,1
 Agatha,Christie,Sparkling cyanide,Colonel Race,4
 Agatha,Christie,The Mysterious Mr. Quin,Harley Quin,1
 Agatha,Christie,Problem at Pollensa Bay and other stories,Harley Quin,3
 Agatha,Christie,The Harlequin Tea Set and Other Stories,Harley Quin,4
 Agatha,Christie,Hercule Poirot's Casebook,Hercule Poirot Mystery,1
 Agatha,Christie,The mysterious affair at Styles,Hercule Poirot Mystery,1
 Agatha,Christie,Murder on the links,Hercule Poirot Mystery,2
 Agatha,Christie,Poirot investigates,Hercule Poirot Mystery,3
 Agatha,Christie,The Murder of Roger Ackroyd: A Hercule Poirot Mystery,Hercule Poirot Mystery,4
 Agatha,Christie,The Big Four,Hercule Poirot Mystery,5
 Agatha,Christie,The mystery of the blue train,Hercule Poirot Mystery,6
 Agatha,Christie,Black Coffee,Hercule Poirot Mystery,6.5
 Agatha,Christie,Peril at End House,Hercule Poirot Mystery,7
 Agatha,Christie,Lord Edgware dies,Hercule Poirot Mystery,8
 Agatha,Christie,Murder on the Orient Express: A Hercule Poirot Mystery,Hercule Poirot Mystery,9
 Agatha,Christie,Three Act Tragedy,Hercule Poirot Mystery,10
 Agatha,Christie,Death in the clouds,Hercule Poirot Mystery,11
 Agatha,Christie,The A.b.c. Murders: A Hercule Poirot Mystery,Hercule Poirot Mystery,12
 Agatha,Christie,Cards on the Table,Hercule Poirot Mystery,13
 Agatha,Christie,Murder in Mesopotamia,Hercule Poirot Mystery,14
 Agatha,Christie,Death on the Nile: a Hercule Poirot mystery,Hercule Poirot Mystery,15
 Agatha,Christie,Poirot Loses a Client,Hercule Poirot Mystery,16
 Agatha,Christie,Murder in the mews,Hercule Poirot Mystery,17
 Agatha,Christie,Appointment with death: a Hercule Poirot mystery,Hercule Poirot Mystery,18
 Agatha,Christie,Hercule Poirot's Christmas,Hercule Poirot Mystery,19
 Agatha,Christie,"One, two, buckle my shoe",Hercule Poirot Mystery,20
 Agatha,Christie,Sad cypress,Hercule Poirot Mystery,21
 Agatha,Christie,Evil Under the Sun,Hercule Poirot Mystery,22
 Agatha,Christie,Five Little Pigs,Hercule Poirot Mystery,23
 Agatha,Christie,The Hollow,Hercule Poirot Mystery,24
 Agatha,Christie,The labors of Hercules,Hercule Poirot Mystery,25
 Agatha,Christie,Taken at the Flood,Hercule Poirot Mystery,26
 Agatha,Christie,Three Blind Mice,Hercule Poirot Mystery,26.5
 Agatha,Christie,Mrs. McGinty's Dead,Hercule Poirot Mystery,27
 Agatha,Christie,After the funeral,Hercule Poirot Mystery,28
 Agatha,Christie,Hickory Dickory Death,Hercule Poirot Mystery,29
 Agatha,Christie,Cat Among the Pigeons,Hercule Poirot Mystery,31
 Agatha,Christie,The Clocks,Hercule Poirot Mystery,34
 Agatha,Christie,Third girl,Hercule Poirot Mystery,35
 Agatha,Christie,Hallowe'en party,Hercule Poirot Mystery,36
 Agatha,Christie,Elephants can remember,Hercule Poirot Mystery,37
 Agatha,Christie,Hercule Poirot's early cases,Hercule Poirot Mystery,38
 Agatha,Christie,Curtain: Poirot's last case,Hercule Poirot Mystery,39
 Agatha,Christie,Murder at the vicarage,Miss Marple,1
 Agatha,Christie,The Thirteen Problems,Miss Marple,2
 Agatha,Christie,The body in the library,Miss Marple,3
 Agatha,Christie,The Moving Finger,Miss Marple,4
 Agatha,Christie,A murder is announced,Miss Marple,5
 Agatha,Christie,They do it with mirrors,Miss Marple,6
 Agatha,Christie,A pocketful of rye,Miss Marple,7
 Agatha,Christie,4:50 from Paddington,Miss Marple,8
 Agatha,Christie,The mirror crack'd from side to side,Miss Marple,9
 Agatha,Christie,A Caribbean Mystery,Miss Marple,10
 Agatha,Christie,Nemesis,Miss Marple,12
 Agatha,Christie,Sleeping Murder,Miss Marple,13
 Agatha,Christie,Miss Marple's final cases,Miss Marple,15
 Agatha,Christie,The Regatta Mystery and Other Stories,Miss Marple,15.5
 Agatha,Christie,The Secret of Chimneys,Superintendent Battle,1
 Agatha,Christie,The seven dials mystery,Superintendent Battle,2
 Agatha,Christie,Murder Is Easy,Superintendent Battle,4
 Agatha,Christie,Towards zero,Superintendent Battle,5
 Agatha,Christie,The secret adversary,Tommy and Tuppence,1
 Agatha,Christie,Partners in crime,Tommy and Tuppence,2
 Agatha,Christie,N Or M?,Tommy and Tuppence,3
 Agatha,Christie,By the pricking of my thumbs,Tommy and Tuppence,4
 Agatha,Christie,Adventure of the Christmas Pudding and other stories,,1
 Agatha,Christie,Agahta Christie: An autobiography,,1
 Agatha,Christie,And then there were none,,1
 Agatha,Christie,At Bertram's Hotel,,1
 Agatha,Christie,Best detective stories of Agatha Christie,,1
 Agatha,Christie,Complete Short Stories of Miss Marple,,1
 Agatha,Christie,Crooked House,,1
 Agatha,Christie,Death comes as the end,,1
 Agatha,Christie,Destination unknown,,1
 Agatha,Christie,Endless Night,,1
 Agatha,Christie,Ordeal by innocence,,1
 Agatha,Christie,Passenger to Frankfurt,,1
 Agatha,Christie,Spider's Web,,1
 Agatha,Christie,The hound of death,,1
 Agatha,Christie,The Listerdale Mystery,,1
 Agatha,Christie,The Sittaford Mystery,,1
 Agatha,Christie,The Unexpected Guest,,1
 Agatha,Christie,They came to Baghdad,,1
 Agatha,Christie,While the light lasts,,1
 Agatha,Christie,Why Didn't They Ask Evans?,,1
 Alan,Furst,Dark star: a novel,Night Soldiers,2
 Alan,Rusbridger,Smelliest Day at the Zoo,,1
 Alan,Brinkley,The Publisher: Henry Luce and His American Century,,1
 Alan,Weisman,The World Without Us,,1
 Alan Dean,Foster,Star Trek Movie Tie-In,Star Trek,2009.05
 Albert,Simon,For Sale in Palm Springs: The Henry Wright Mystery Series,,1
 Albert,Camus,The Stranger,,1
 Albert,Wittig,The Tale of Oat Cake Crag,,1
 Aldous,Huxley,Brave New World,,1
 Alex,Bledsoe,The Sword-Edged blonde,Eddie LaCrosse,1
 Alex,Prentiss,Night Tides,Lady of the Lakes,1
 Alex,Kava,A Perfect Evi,Maggie O'Dell,1
 Alex,Kava,Split Second,Maggie O'Dell,2
 Alex,Kava,The Soul Catcher,Maggie O'Dell,3
 Alex,Kava,At the Stroke of Madness,Maggie O'Dell,4
 Alex,Kava,A Necessary Evil,Maggie O'Dell,5
 Alex,Kava,Exposed,Maggie O'Dell,6
 Alex,Kava,Black Friday,Maggie O'Dell,7
 Alex,Archer,Destiny,Rogue Angel,1
 Alex,Archer,Solomon's jar,Rogue Angel,2
 Alex,Archer,The Spider Stone,Rogue Angel,3
 Alex,Archer,The Chosen,Rogue Angel,4
 Alex,Archer,Forbidden City,Rogue Angel,5
 Alex,Archer,The Lost Scrolls,Rogue Angel,6
 Alex,Archer,God Of Thunder,Rogue Angel,7
 Alex,Archer,Secret of the Slaves,Rogue Angel,8
 Alex,Archer,Warrior Spirit,Rogue Angel,9
 Alex,Archer,Serpent's Kiss,Rogue Angel,10
 Alex,Archer,Provenance,Rogue Angel,11
 Alex,Archer,The Soul Stealer,Rogue Angel,12
 Alex,Archer,Gabriel's Horn,Rogue Angel,13
 Alex,Archer,The Golden Elephant,Rogue Angel,14
 Alex,Archer,Swordsman's Legacy,Rogue Angel,15
 Alex,Archer,Polar Quest,Rogue Angel,16
 Alex,Archer,Eternal Journey,Rogue Angel,17
 Alex,Archer,Sacrifice,Rogue Angel,18
 Alex,Archer,Seeker's Curse,Rogue Angel,19
 Alex,Archer,Footprints,Rogue Angel,20
 Alex,Archer,Paradox,Rogue Angel,21
 Alex,Archer,The Spirit Banner,Rogue Angel,22
 Alex,Archer,Sacred Ground,Rogue Angel,23
 Alex,Archer,The Bone Conjurer,Rogue Angel,24
 Alex,Archer,Tribal Ways,Rogue Angel,25
 Alex,Archer,The Dragon's Mark,Rogue Angel,26
 Alex,Scarrow,A Thousand Suns,,1
 Alex,Scarrow,Afterlight,,1
 Alex,Scarrow,Last Light,,1
 Alex,Scarrow,October Skies,,1
 Alexa & Davitt,Snow,Laying a Ghost,Ghost,1
 Alexa & Davitt,Snow,Giving Up the Ghost,Ghost,2
