author_sort,authors,series,series_index,title
"Abercrombie, Joe","Joe Abercrombie","The First Law","2.0","Before They Are Hanged"
"Abercrombie, Joe","Joe Abercrombie","The First Law","3.0","Last Argument of Kings"
"Abercrombie, Joe","Joe Abercrombie","The First Law","1.0","The Blade Itself"
"Adams, Douglas","Douglas Adams","Dirk Gently","1.0","Dirk Gently's Holistic Detective Agency"
"Adams, Douglas","Douglas Adams","","1.0","Life, the Universe and Everything"
"Adams, Douglas","Douglas Adams","The Hitchhiker's Guide to the Galaxy","5.0","Mostly harmless"
"Adams, Douglas","Douglas Adams","","1.0","So Long, and Thanks for All the Fish"
"Adams, Douglas","Douglas Adams","The Hitchhiker's Guide to the Galaxy","1.0","The hitchhiker's guide to the galaxy"
"Adams, Douglas","Douglas Adams","Dirk Gently","2.0","The long dark tea-time of the soul"
"Adams, Douglas","Douglas Adams","The Hitchhiker's Guide to the Galaxy","2.0","The Restaurant at the end of the universe"
"Adams, Richard","Richard Adams","Watership Down","2.0","Tales from Watership Down"
"Alcott, Louisa May","Louisa May Alcott","Little Women","1.0","Little Women"
"Archer, Alex","Alex Archer","Rogue Angel","25.0","Tribal Ways"
"Ambrose, Stephen E.","Stephen E. Ambrose","","1.0","Band of Brothers: E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest"
"Ambrose, Stephen E.","Stephen E. Ambrose","","1.0","Pegasus Bridge: June 6, 1944"
"Anonymous","Anonymous","","1.0","Beowulf"
"Archer, Alex","Alex Archer","Rogue Angel","1.0","Destiny"
"Archer, Alex","Alex Archer","Rogue Angel","17.0","Eternal Journey"
"Archer, Alex","Alex Archer","Rogue Angel","20.0","Footprints"
"Archer, Alex","Alex Archer","Rogue Angel","5.0","Forbidden City"
"Austen, Jane","Jane Austen","","1.0","Emma"
"Austen, Jane","Jane Austen","","1.0","Mansfield Park"
"Austen, Jane","Jane Austen","","1.0","Northanger Abbey"
"Austen, Jane","Jane Austen","","1.0","Persuasion"
"Austen, Jane","Jane Austen","","1.0","Pride and Prejudice"
"Archer, Alex","Alex Archer","Rogue Angel","13.0","Gabriel's Horn"
"Archer, Alex","Alex Archer","Rogue Angel","7.0","God Of Thunder"
"Archer, Alex","Alex Archer","Rogue Angel","21.0","Paradox"
