YMD,bWendu,yWendu,Tianqi,Fengxiang,Fengli,aqi,aqiinfo,aqiLevel
1/01/2018,3°C,-12°C,晴,东北风,1-2级,43,优,1
2/01/2018,6°C,-4°C,阴-多云,东风,1-3级,56,良,2
3/01/2018,4°C,-21°C,晴-多云,北风,3级,13,优,1
4/01/2018,9°C,-13°C,多云,东南风,2-3级,67,良,2
5/01/2018,3°C,-6°C,阴,南风,2级,54,良,2
6/01/2018,5°C,-4°C,多云,东北风,1级,63,良,2
7/01/2018,4°C,-9°C,晴,东风,1-2级,15,优,1
8/01/2018,17°C,8°C,晴,东北风,1-2级,43,优,1
9/01/2018,14°C,0°C,阴-多云,东风,1-3级,56,良,2
10/01/2018,20°C,5°C,晴-多云,北风,3级,13,优,1
11/01/2018,16°C,-6°C,多云,东南风,2-3级,67,良,2
12/01/2018,27°C,-10°C,阴,南风,2级,54,良,2
13/01/2018,15°C,-8°C,多云,东风,1级,63,良,2
14/01/2018,24°C,-2°C,晴,东北风,1-2级,15,优,1
15/01/2018,12°C,2°C,晴,东北风,1-2级,43,优,1
16/01/2018,28°C,7°C,阴-多云,东风,1-3级,56,良,2
17/01/2018,10°C,6°C,晴-多云,北风,3级,13,优,1
18/01/2018,11°C,0°C,多云,东南风,2-3级,67,良,2
19/01/2018,23°C,1°C,阴,南风,2级,54,良,2
20/01/2018,17°C,6°C,多云,东北风,1级,63,良,2
21/01/2018,21°C,2°C,晴,东风,1-2级,15,优,1
22/01/2018,21°C,4°C,晴,东北风,1-2级,54,良,2
23/01/2018,12°C,1°C,阴-多云,东风,1-3级,63,良,2
24/01/2018,19°C,-9°C,晴-多云,北风,3级,15,优,1
25/01/2018,28°C,3°C,多云,东南风,2-3级,43,优,1
26/01/2018,26°C,-1°C,阴,南风,2级,56,良,2
27/01/2018,10°C,-3°C,多云,东风,1级,13,优,1
28/01/2018,27°C,4°C,晴,东北风,1-2级,67,良,2
29/01/2018,20°C,-1°C,晴,东北风,1-2级,54,良,2
30/01/2018,18°C,-1°C,阴-多云,东风,1-3级,63,良,2
31/01/2018,21°C,1°C,晴-多云,北风,3级,54,良,2
1/02/2018,20°C,-2°C,多云,东南风,2-3级,63,良,2
2/02/2018,16°C,3°C,阴,南风,2级,15,优,1
3/02/2018,25°C,3°C,多云,东风,1级,43,优,1
4/02/2018,21°C,-7°C,晴,东北风,1-2级,56,良,2
5/02/2018,14°C,9°C,晴,东北风,1-2级,13,优,1
6/02/2018,25°C,-1°C,阴-多云,东风,1-3级,67,良,2
7/02/2018,25°C,5°C,晴-多云,北风,3级,54,良,2
8/02/2018,28°C,1°C,多云,东南风,2-3级,63,良,2
9/02/2018,22°C,9°C,阴,南风,2级,43,优,1
10/02/2018,28°C,9°C,多云,东北风,1级,56,良,2
11/02/2018,19°C,2°C,晴,东风,1-2级,13,优,1
12/02/2018,29°C,8°C,晴,东北风,1-2级,67,良,2
13/02/2018,26°C,-6°C,阴-多云,东风,1-3级,54,良,2
14/02/2018,18°C,1°C,晴-多云,北风,3级,63,良,2
15/02/2018,26°C,-1°C,多云,东南风,2-3级,15,优,1
16/02/2018,14°C,2°C,阴,南风,2级,43,优,1
17/02/2018,28°C,3°C,多云,东风,1级,56,良,2
18/02/2018,24°C,0°C,晴,东北风,1-2级,13,优,1
19/02/2018,20°C,9°C,晴,东北风,1-2级,67,良,2
20/02/2018,10°C,0°C,阴-多云,东风,1-3级,54,良,2
21/02/2018,10°C,9°C,晴-多云,北风,3级,63,良,2
22/02/2018,12°C,-2°C,多云,东南风,2-3级,15,优,1
23/02/2018,29°C,-7°C,阴,南风,2级,43,优,1
24/02/2018,16°C,3°C,多云,东北风,1级,56,良,2
25/02/2018,21°C,-3°C,晴,东风,1-2级,13,优,1
26/02/2018,19°C,-4°C,晴,东北风,2-3级,67,良,2
27/02/2018,21°C,-5°C,阴-多云,东风,2级,54,良,2
28/02/2018,29°C,8°C,晴-多云,北风,1级,63,良,2
1/03/2018,27°C,-6°C,多云,东南风,1-2级,15,优,1
2/03/2018,13°C,8°C,阴,南风,1-2级,54,良,2
3/03/2018,10°C,0°C,多云,东风,1级,63,良,2
4/03/2018,17°C,2°C,晴,东北风,1-2级,15,优,1
5/03/2018,18°C,5°C,晴,东北风,1-2级,43,优,1
6/03/2018,10°C,3°C,阴-多云,东风,1-3级,56,良,2
7/03/2018,16°C,-4°C,晴-多云,北风,3级,13,优,1
8/03/2018,19°C,7°C,多云,东南风,2-3级,67,良,2
9/03/2018,22°C,4°C,阴,南风,2级,54,良,2
10/03/2018,28°C,3°C,多云,东风,1级,63,良,2
11/03/2018,22°C,8°C,晴,东北风,1-2级,54,良,2
12/03/2018,11°C,9°C,晴,东风,1-2级,63,良,2
13/03/2018,11°C,-5°C,阴-多云,北风,1-3级,15,优,1
14/03/2018,16°C,-7°C,晴-多云,东南风,3级,43,优,1
15/03/2018,29°C,4°C,多云,南风,2-3级,56,良,2
16/03/2018,25°C,-2°C,阴,东风,2级,13,优,1
17/03/2018,20°C,-9°C,多云,东北风,1级,67,良,2
18/03/2018,19°C,1°C,晴,东北风,1-2级,54,良,2
19/03/2018,19°C,1°C,晴,东风,1-2级,63,良,2
20/03/2018,29°C,7°C,阴-多云,北风,1-3级,344,差,4
21/03/2018,17°C,-10°C,晴-多云,东南风,3级,79,良,2
